Latitude,Longitude,Altitude,Datetime,Seconds_Since_Start
39.984702,116.318417,492.0,2008-10-23 02:53:04,0.0
39.984683,116.31845,492.0,2008-10-23 02:53:10,6.0
39.984686,116.318417,492.0,2008-10-23 02:53:15,11.0
39.984688,116.318385,492.0,2008-10-23 02:53:20,16.0
39.984655,116.318263,492.0,2008-10-23 02:53:25,21.0
39.984611,116.318026,493.0,2008-10-23 02:53:30,26.0
39.984608,116.317761,493.0,2008-10-23 02:53:35,31.0
39.984563,116.317517,496.0,2008-10-23 02:53:40,36.0
39.984539,116.317294,500.0,2008-10-23 02:53:45,41.0
39.984606,116.317065,505.0,2008-10-23 02:53:50,46.0
39.984568,116.316911,510.0,2008-10-23 02:53:55,51.0
39.984586,116.316716,515.0,2008-10-23 02:54:00,56.0
39.984561,116.316527,520.0,2008-10-23 02:54:05,61.0
39.984536,116.316354,525.0,2008-10-23 02:54:10,66.0
39.984523,116.316188,531.0,2008-10-23 02:54:15,71.0
39.984516,116.315963,536.0,2008-10-23 02:54:20,76.0
39.984523,116.315823,541.0,2008-10-23 02:54:25,81.0
39.984574,116.315611,546.0,2008-10-23 02:54:30,86.0
39.984568,116.315407,551.0,2008-10-23 02:54:35,91.0
39.984538,116.315148,556.0,2008-10-23 02:54:40,96.0
39.984501,116.314907,560.0,2008-10-23 02:54:45,101.0
39.984532,116.314808,564.0,2008-10-23 02:54:50,106.0
39.984504,116.314625,569.0,2008-10-23 02:54:55,111.0
39.984485,116.314426,574.0,2008-10-23 02:55:00,116.0
39.984427,116.31424,579.0,2008-10-23 02:55:05,121.0
39.984485,116.314042,584.0,2008-10-23 02:55:10,126.0
39.98448,116.313818,589.0,2008-10-23 02:55:15,131.0
39.984501,116.313659,595.0,2008-10-23 02:55:20,136.0
39.984618,116.314323,113.0,2008-10-23 02:55:25,141.0
39.984649,116.314107,117.0,2008-10-23 02:55:30,146.0
39.984621,116.313941,121.0,2008-10-23 02:55:35,151.0
39.984655,116.313724,126.0,2008-10-23 02:55:40,156.0
39.984681,116.313521,129.0,2008-10-23 02:55:45,161.0
39.984708,116.313311,133.0,2008-10-23 02:55:50,166.0
39.984708,116.313099,137.0,2008-10-23 02:55:55,171.0
39.984696,116.312921,144.0,2008-10-23 02:56:00,176.0
39.984677,116.312746,153.0,2008-10-23 02:56:05,181.0
39.984682,116.312525,155.0,2008-10-23 02:56:10,186.0
39.984649,116.312332,158.0,2008-10-23 02:56:15,191.0
39.984641,116.312123,164.0,2008-10-23 02:56:20,196.0
39.984647,116.311917,170.0,2008-10-23 02:56:25,201.0
39.984654,116.31172,178.0,2008-10-23 02:56:30,206.0
39.984631,116.311569,180.0,2008-10-23 02:56:35,211.0
39.984647,116.31138,184.0,2008-10-23 02:56:40,216.0
39.984653,116.311189,194.0,2008-10-23 02:56:45,221.0
39.984628,116.311026,206.0,2008-10-23 02:56:50,226.0
39.984652,116.310854,214.0,2008-10-23 02:56:55,231.0
39.984656,116.31066,222.0,2008-10-23 02:57:00,236.0
39.984616,116.310534,231.0,2008-10-23 02:57:05,241.0
39.984676,116.31033,235.0,2008-10-23 02:57:10,246.0
39.984698,116.310063,242.0,2008-10-23 02:57:15,251.0
39.984696,116.309937,250.0,2008-10-23 02:57:20,256.0
39.984663,116.309851,260.0,2008-10-23 02:57:25,261.0
39.984598,116.309749,266.0,2008-10-23 02:57:30,266.0
39.98454,116.309656,270.0,2008-10-23 02:57:35,271.0
39.984525,116.309503,271.0,2008-10-23 02:57:40,276.0
39.984498,116.309348,270.0,2008-10-23 02:57:45,281.0
39.984481,116.309173,265.0,2008-10-23 02:57:50,286.0
39.984489,116.308993,261.0,2008-10-23 02:57:55,291.0
39.98447,116.308827,257.0,2008-10-23 02:58:00,296.0
39.98449,116.308638,251.0,2008-10-23 02:58:05,301.0
39.98449,116.308485,247.0,2008-10-23 02:58:10,306.0
39.984494,116.308351,240.0,2008-10-23 02:58:15,311.0
39.984499,116.308201,240.0,2008-10-23 02:58:20,316.0
39.984484,116.308049,244.0,2008-10-23 02:58:25,321.0
39.984491,116.307902,253.0,2008-10-23 02:58:30,326.0
39.984499,116.307809,264.0,2008-10-23 02:58:35,331.0
39.984472,116.307687,272.0,2008-10-23 02:58:40,336.0
39.984493,116.307548,279.0,2008-10-23 02:58:45,341.0
39.984488,116.307434,282.0,2008-10-23 02:58:50,346.0
39.984427,116.307292,281.0,2008-10-23 02:58:55,351.0
39.984428,116.307126,282.0,2008-10-23 02:59:00,356.0
39.984432,116.306943,288.0,2008-10-23 02:59:05,361.0
39.984425,116.306801,284.0,2008-10-23 02:59:10,366.0
39.984438,116.306633,286.0,2008-10-23 02:59:15,371.0
39.984462,116.306486,284.0,2008-10-23 02:59:20,376.0
39.984466,116.3063,285.0,2008-10-23 02:59:25,381.0
39.984456,116.306047,287.0,2008-10-23 02:59:30,386.0
39.984454,116.305854,295.0,2008-10-23 02:59:35,391.0
39.984412,116.305682,297.0,2008-10-23 02:59:40,396.0
39.98441,116.305466,301.0,2008-10-23 02:59:45,401.0
39.984406,116.305281,309.0,2008-10-23 02:59:50,406.0
39.984393,116.305023,314.0,2008-10-23 02:59:55,411.0
39.984356,116.304909,305.0,2008-10-23 03:00:00,416.0
39.984352,116.304704,295.0,2008-10-23 03:00:05,421.0
39.984338,116.304543,293.0,2008-10-23 03:00:10,426.0
39.984338,116.304315,291.0,2008-10-23 03:00:15,431.0
