Latitude,Longitude,Altitude,Datetime,Seconds_Since_Start
39.999844,116.326752,492.0,2008-10-23 17:58:54,0.0
39.999876,116.326708,492.0,2008-10-23 17:58:59,5.0
39.999915,116.326672,492.0,2008-10-23 17:59:04,10.0
40.000059,116.32714,142.0,2008-10-23 17:59:09,15.0
40.000039,116.327172,132.0,2008-10-23 17:59:14,20.0
40.000099,116.327197,119.0,2008-10-23 17:59:19,25.0
40.000154,116.327165,106.0,2008-10-23 17:59:24,30.0
40.000209,116.327149,95.0,2008-10-23 17:59:29,35.0
40.000262,116.327139,83.0,2008-10-23 17:59:34,40.0
40.000309,116.327138,82.0,2008-10-23 17:59:39,45.0
40.000245,116.327159,92.0,2008-10-23 17:59:44,50.0
40.000266,116.327142,90.0,2008-10-23 17:59:49,55.0
40.000322,116.327112,86.0,2008-10-23 17:59:54,60.0
40.000357,116.327058,81.0,2008-10-23 17:59:59,65.0
40.000367,116.327012,76.0,2008-10-23 18:00:04,70.0
40.000364,116.326973,72.0,2008-10-23 18:00:09,75.0
40.000386,116.326982,67.0,2008-10-23 18:00:14,80.0
40.000453,116.326988,63.0,2008-10-23 18:00:19,85.0
40.000556,116.327212,58.0,2008-10-23 18:00:24,90.0
40.000763,116.327384,53.0,2008-10-23 18:00:29,95.0
40.001237,116.327475,50.0,2008-10-23 18:00:34,100.0
40.001515,116.328074,46.0,2008-10-23 18:00:39,105.0
40.00169,116.328191,42.0,2008-10-23 18:00:44,110.0
40.001963,116.328206,38.0,2008-10-23 18:00:49,115.0
40.002309,116.328235,34.0,2008-10-23 18:00:54,120.0
40.002739,116.328236,26.0,2008-10-23 18:00:59,125.0
40.003185,116.328169,23.0,2008-10-23 18:01:04,130.0
40.003599,116.328126,21.0,2008-10-23 18:01:09,135.0
40.003866,116.328048,26.0,2008-10-23 18:01:14,140.0
40.004134,116.327954,30.0,2008-10-23 18:01:19,145.0
40.004505,116.327984,33.0,2008-10-23 18:01:24,150.0
40.004922,116.327998,34.0,2008-10-23 18:01:29,155.0
40.005378,116.328047,37.0,2008-10-23 18:01:34,160.0
40.005693,116.327987,44.0,2008-10-23 18:01:39,165.0
40.005844,116.327956,61.0,2008-10-23 18:01:44,170.0
40.006048,116.327955,67.0,2008-10-23 18:01:49,175.0
40.006372,116.327848,53.0,2008-10-23 18:01:54,180.0
40.006664,116.327834,55.0,2008-10-23 18:01:59,185.0
40.006993,116.327792,46.0,2008-10-23 18:02:04,190.0
40.007475,116.327825,34.0,2008-10-23 18:02:09,195.0
40.007862,116.327815,18.0,2008-10-23 18:02:14,200.0
40.008043,116.327667,36.0,2008-10-23 18:02:19,205.0
40.008032,116.327297,65.0,2008-10-23 18:02:24,210.0
40.007978,116.326831,80.0,2008-10-23 18:02:29,215.0
40.00795,116.326164,86.0,2008-10-23 18:02:34,220.0
40.007909,116.325526,90.0,2008-10-23 18:02:39,225.0
40.007871,116.3249,96.0,2008-10-23 18:02:44,230.0
40.007842,116.324318,89.0,2008-10-23 18:02:49,235.0
40.007811,116.323762,88.0,2008-10-23 18:02:54,240.0
40.007778,116.323133,85.0,2008-10-23 18:02:59,245.0
40.007757,116.322558,81.0,2008-10-23 18:03:04,250.0
40.007881,116.322018,78.0,2008-10-23 18:03:09,255.0
40.00809,116.321505,75.0,2008-10-23 18:03:14,260.0
40.008145,116.321197,65.0,2008-10-23 18:03:19,265.0
